epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
91,13027.2,1.00446,0.72786,1.36422,0.00214,0.86395,0.87715,0.92179,0.69439,0.88458,0.65409,1.24921,0.0008,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
92,13167,1.01202,0.70692,1.34742,0.00234,0.86712,0.87068,0.91712,0.69358,0.86368,0.65836,1.27143,0.0008,0.0005946,0.0001982,0.0005946,0.0001982,0.0005946,0.0001982,0.0005946,0.0001982
93,13306.8,0.98545,0.68511,1.32264,0.00206,0.87085,0.88111,0.92048,0.69048,0.87633,0.66183,1.26753,0.00079,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
94,13448,0.95912,0.67149,1.31815,0.00217,0.86869,0.88268,0.92427,0.70395,0.84726,0.65595,1.25296,0.00076,0.0004758,0.0001586,0.0004758,0.0001586,0.0004758,0.0001586,0.0004758,0.0001586
95,13589,0.96824,0.66972,1.31898,0.00211,0.87664,0.88243,0.92756,0.70348,0.85368,0.65514,1.24921,0.00078,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388
96,13729.4,0.95152,0.65727,1.30321,0.00199,0.8695,0.88893,0.92923,0.70701,0.85295,0.65044,1.24807,0.00077,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119
97,13870.1,0.97377,0.66186,1.32065,0.00216,0.87913,0.88395,0.93019,0.70698,0.84429,0.6459,1.25253,0.00077,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
98,14012,0.94323,0.6459,1.31117,0.00205,0.87624,0.89168,0.92989,0.6998,0.87246,0.65214,1.25672,0.00081,0.0002382,7.94e-05,0.0002382,7.94e-05,0.0002382,7.94e-05,0.0002382,7.94e-05
99,14153.9,0.94456,0.64832,1.30626,0.00191,0.87717,0.88904,0.93002,0.7055,0.84827,0.64503,1.25763,0.00075,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05
100,14294,0.93006,0.64059,1.30044,0.00184,0.87452,0.89306,0.93024,0.70936,0.84637,0.64368,1.25163,0.00075,0.0001194,3.98e-05,0.0001194,3.98e-05,0.0001194,3.98e-05,0.0001194,3.98e-05
